combo,partner_crime,child_crime,stranger_crime,burglary_home_stranger,victim_male,victim_female,victim_unknown_sex,offender_male,offender_female,offender_unknown_sex,victim_minor,victim_adult,offender_minor,offender_adult
ADAMS-IA-2018-1,0,0,0,0,4,1,0,2,0,1,0,5,0,5
ADAMS-IA-2018-11,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ADAMS-IA-2018-2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ADAMS-IA-2018-3,0,0,0,0,2,0,0,0,0,0,0,2,0,2
ADAMS-IA-2018-4,1,1,1,0,0,1,0,1,1,0,0,1,0,1
ADAMS-IA-2018-5,0,0,0,0,2,1,0,1,2,0,0,3,0,3
ADAMS-IA-2018-6,1,0,0,0,1,1,0,6,3,0,0,2,0,2
ADAMS-IA-2018-7,0,0,0,0,1,0,0,0,1,0,0,1,0,1
ADAMS-IA-2018-8,0,0,0,0,0,2,0,2,0,0,0,2,0,2
ADAMS-IA-2018-9,0,1,0,0,0,1,0,1,0,0,0,1,0,1
ADAMS-ID-2018-1,0,2,0,0,0,3,0,18,5,0,2,1,2,1
ADAMS-ID-2018-10,1,1,1,0,2,0,0,7,5,0,0,2,0,2
ADAMS-ID-2018-11,1,3,1,0,6,1,1,7,4,3,3,5,3,5
ADAMS-ID-2018-12,0,1,2,0,11,1,0,15,0,0,0,12,0,12
ADAMS-ID-2018-2,2,4,3,0,0,5,0,21,6,1,2,3,2,3
ADAMS-ID-2018-3,1,4,1,0,2,9,0,6,15,0,6,4,6,4
ADAMS-ID-2018-4,3,3,3,0,4,2,0,15,13,0,3,3,3,3
ADAMS-ID-2018-5,0,0,0,0,0,1,0,24,7,0,0,1,0,1
ADAMS-ID-2018-6,5,3,3,0,2,4,0,11,10,0,0,6,0,6
ADAMS-ID-2018-7,0,1,4,0,8,4,0,12,6,0,2,10,2,10
ADAMS-ID-2018-8,6,8,5,0,8,5,0,25,9,0,4,9,4,9
ADAMS-ID-2018-9,4,7,5,0,5,7,1,15,3,0,2,11,2,11
ADAMS-IN-2018-10,1,1,2,0,0,2,0,4,0,0,1,1,1,1
ADAMS-IN-2018-11,0,0,0,0,0,0,0,4,2,0,0,0,0,0
ADAMS-IN-2018-12,3,3,3,0,0,4,0,3,0,1,2,2,2,2
ADAMS-IN-2018-2,0,0,0,0,0,0,0,0,4,0,0,0,0,0
ADAMS-IN-2018-3,0,0,1,0,0,1,0,2,0,0,0,1,0,1
ADAMS-IN-2018-4,0,0,0,0,0,1,0,2,0,0,1,0,1,0
ADAMS-IN-2018-5,1,1,1,0,0,2,0,3,0,0,1,1,1,1
ADAMS-IN-2018-6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ADAMS-IN-2018-7,0,0,0,0,0,1,0,1,3,0,0,1,0,1
ADAMS-IN-2018-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMS-IN-2018-9,0,0,0,0,0,2,0,2,3,0,0,2,0,2
ADAMS-NB-2018-1,15,17,25,0,87,76,0,130,37,0,14,149,14,149
ADAMS-NB-2018-10,8,17,14,0,85,83,0,110,39,0,9,159,9,159
ADAMS-NB-2018-11,11,19,36,0,86,72,0,162,61,0,25,131,25,131
ADAMS-NB-2018-12,11,18,21,0,82,76,0,135,70,0,15,141,15,141
ADAMS-NB-2018-2,13,15,36,0,78,61,0,124,51,0,18,119,18,119
ADAMS-NB-2018-3,14,16,33,0,75,76,0,132,62,0,7,144,7,144
ADAMS-NB-2018-4,19,17,41,0,97,94,0,157,55,0,17,173,17,173
ADAMS-NB-2018-5,11,20,46,0,93,101,0,140,74,0,19,174,19,174
ADAMS-NB-2018-6,23,18,35,0,88,82,0,123,33,0,13,157,13,157
ADAMS-NB-2018-7,19,12,35,0,116,83,0,135,56,0,9,188,9,188
ADAMS-NB-2018-8,21,8,51,0,93,83,0,108,79,0,12,164,12,164
ADAMS-NB-2018-9,22,19,57,0,93,98,0,162,59,0,21,170,21,170
ADAMS-ND-2018-1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
ADAMS-ND-2018-10,0,0,0,0,2,1,0,2,1,0,0,3,0,3
ADAMS-ND-2018-11,4,4,7,0,3,5,0,8,0,0,6,2,6,2
ADAMS-ND-2018-12,0,3,1,0,3,1,0,5,1,0,0,4,0,4
ADAMS-ND-2018-2,0,1,2,0,3,2,0,0,3,0,0,5,0,5
ADAMS-ND-2018-3,0,0,0,0,1,0,0,5,2,0,0,1,0,1
ADAMS-ND-2018-4,0,0,4,0,2,4,0,0,4,0,4,2,4,2
ADAMS-ND-2018-5,0,0,0,0,4,2,0,4,3,0,0,6,0,6
ADAMS-ND-2018-6,0,1,0,0,4,3,0,8,0,0,0,7,0,7
ADAMS-ND-2018-7,0,0,1,0,7,4,0,7,0,2,1,9,1,9
ADAMS-ND-2018-8,1,1,1,0,14,8,0,8,0,0,0,22,0,22
ADAMS-ND-2018-9,0,0,0,0,0,1,0,2,0,0,0,1,0,1
ADAMS-OH-2018-1,4,10,5,0,42,34,1,29,34,18,8,69,8,69
ADAMS-OH-2018-10,2,6,3,0,18,22,0,17,9,15,4,36,4,36
ADAMS-OH-2018-11,4,7,8,0,34,23,1,16,15,24,5,53,5,53
ADAMS-OH-2018-12,3,5,3,0,7,19,3,20,9,5,2,27,2,27
ADAMS-OH-2018-2,4,11,3,0,20,22,1,30,8,10,7,36,7,36
ADAMS-OH-2018-3,6,15,4,0,27,19,0,30,7,10,7,38,7,38
ADAMS-OH-2018-4,3,5,1,0,14,14,0,18,6,7,2,26,2,26
ADAMS-OH-2018-5,9,16,15,0,24,34,0,34,10,11,7,51,7,51
ADAMS-OH-2018-6,4,17,6,0,33,27,0,28,12,14,0,60,0,60
ADAMS-OH-2018-7,6,14,7,0,41,39,1,31,27,19,6,75,6,75
ADAMS-OH-2018-8,7,16,5,0,22,24,3,31,10,10,0,49,0,49
ADAMS-OH-2018-9,5,13,1,0,21,19,5,21,11,12,2,43,2,43
ADAMS-PA-2018-1,1,1,11,0,23,6,0,20,8,0,1,28,1,28
ADAMS-PA-2018-10,0,0,0,0,3,2,0,3,0,0,0,5,0,5
ADAMS-PA-2018-11,0,2,5,0,2,6,0,7,7,0,1,7,1,7
ADAMS-PA-2018-12,0,0,0,0,0,2,0,5,5,0,0,2,0,2
ADAMS-PA-2018-2,2,1,1,0,5,4,0,9,3,0,3,5,3,5
ADAMS-PA-2018-3,1,1,1,0,0,3,0,2,3,0,1,2,1,2
ADAMS-PA-2018-4,0,1,0,0,1,4,0,4,0,0,1,4,1,4
ADAMS-PA-2018-5,1,1,1,0,0,2,0,4,1,0,1,1,1,1
ADAMS-PA-2018-6,1,0,4,0,7,8,0,8,0,0,4,11,4,11
ADAMS-PA-2018-7,1,1,0,0,6,5,0,3,1,0,1,9,1,9
ADAMS-PA-2018-8,1,1,2,0,3,1,0,2,2,0,1,3,1,3
ADAMS-PA-2018-9,0,0,4,0,4,0,0,7,4,0,4,0,4,0
ADAMS-WA-2018-1,3,7,7,0,62,43,0,64,23,0,11,94,11,94
ADAMS-WA-2018-10,5,5,10,0,37,25,0,38,7,0,6,56,6,56
ADAMS-WA-2018-11,2,2,5,0,30,26,0,30,3,0,9,47,9,47
ADAMS-WA-2018-12,8,11,12,0,38,48,0,24,19,0,6,80,6,80
ADAMS-WA-2018-2,9,17,16,0,37,46,0,54,10,0,11,72,11,72
ADAMS-WA-2018-3,11,15,12,0,42,41,0,47,19,0,7,76,7,76
ADAMS-WA-2018-4,5,10,5,0,47,31,0,41,14,0,7,71,7,71
ADAMS-WA-2018-5,22,19,31,3,56,26,0,55,22,0,20,62,20,62
ADAMS-WA-2018-6,17,20,25,0,61,51,0,59,34,0,16,96,16,96
ADAMS-WA-2018-7,10,9,6,0,52,40,0,64,15,0,6,86,6,86
ADAMS-WA-2018-8,9,7,7,0,50,42,0,56,4,0,5,87,5,87
ADAMS-WA-2018-9,18,16,14,0,47,44,0,67,14,0,14,77,14,77
ADAMS-WI-2018-1,2,2,2,0,4,5,0,6,3,0,2,7,2,7
ADAMS-WI-2018-10,5,5,6,0,1,9,0,13,1,0,2,8,2,8
ADAMS-WI-2018-11,0,0,0,0,4,1,0,5,3,0,0,5,0,5
ADAMS-WI-2018-12,1,0,0,0,2,1,0,8,2,0,0,3,0,3
ADAMS-WI-2018-2,0,0,4,0,8,1,0,7,3,0,0,9,0,9
ADAMS-WI-2018-3,1,1,0,0,3,3,0,3,2,0,1,5,1,5
ADAMS-WI-2018-4,0,0,0,0,3,3,0,5,0,0,2,4,2,4
ADAMS-WI-2018-5,1,0,1,0,4,5,0,16,7,0,1,8,1,8
ADAMS-WI-2018-6,1,0,1,0,6,5,0,5,9,0,2,9,2,9
ADAMS-WI-2018-7,3,3,2,0,4,5,0,14,7,0,1,8,1,8
ADAMS-WI-2018-8,1,1,1,0,7,2,0,6,6,0,2,7,2,7
ADAMS-WI-2018-9,2,4,4,0,10,10,0,19,4,0,0,20,0,20
ADDISON-VT-2018-1,8,8,8,0,4,18,0,8,10,0,1,21,1,21
ADDISON-VT-2018-10,13,16,15,0,31,24,0,30,1,0,6,49,6,49
ADDISON-VT-2018-11,2,3,4,0,17,17,0,8,6,0,1,33,1,33
ADDISON-VT-2018-12,0,2,1,0,8,16,0,9,4,0,1,23,1,23
ADDISON-VT-2018-2,9,10,8,0,18,18,0,21,11,0,7,29,7,29
ADDISON-VT-2018-3,8,7,14,0,21,14,0,21,7,0,5,30,5,30
ADDISON-VT-2018-4,3,0,6,0,17,8,0,12,8,0,0,25,0,25
ADDISON-VT-2018-5,6,7,5,0,24,15,0,12,4,0,4,35,4,35
ADDISON-VT-2018-6,4,9,4,0,35,22,0,26,17,0,0,57,0,57
ADDISON-VT-2018-7,2,4,7,0,45,37,0,38,15,0,4,78,4,78
ADDISON-VT-2018-8,14,11,21,0,42,31,0,31,14,0,7,66,7,66
ADDISON-VT-2018-9,2,4,5,0,25,18,0,23,7,0,6,37,6,37
AIKEN-SC-2018-1,113,98,148,0,345,370,25,457,181,284,57,647,57,647
AIKEN-SC-2018-10,134,117,251,0,521,551,8,618,252,358,115,944,115,944
AIKEN-SC-2018-11,109,91,175,0,547,428,9,610,221,313,90,876,90,876
AIKEN-SC-2018-12,178,175,273,0,461,646,23,681,298,357,128,957,128,957
AIKEN-SC-2018-2,140,136,175,0,476,433,14,554,202,281,89,791,89,791
AIKEN-SC-2018-3,179,185,228,0,544,536,41,714,294,345,128,916,128,916
AIKEN-SC-2018-4,127,120,169,0,452,547,4,648,213,337,108,867,108,867
AIKEN-SC-2018-5,123,103,198,0,520,508,6,659,216,356,105,897,105,897
AIKEN-SC-2018-6,122,113,133,0,471,507,12,631,218,323,87,830,87,830
AIKEN-SC-2018-7,127,102,174,0,497,513,8,622,229,337,64,936,64,936
AIKEN-SC-2018-8,145,140,184,0,471,543,8,592,210,361,91,901,91,901
AIKEN-SC-2018-9,130,118,149,0,440,464,3,602,231,260,70,821,70,821
ALAMOSA-CO-2018-1,8,18,7,0,45,55,0,91,36,2,9,91,9,91
ALAMOSA-CO-2018-10,9,14,7,0,24,41,0,53,26,2,2,63,2,63
ALAMOSA-CO-2018-11,14,27,14,0,40,47,0,86,48,0,5,82,5,82
ALAMOSA-CO-2018-12,10,16,8,0,36,30,0,63,33,0,1,65,1,65
ALAMOSA-CO-2018-2,9,22,5,0,61,60,0,98,32,9,10,111,10,111
ALAMOSA-CO-2018-3,4,8,2,0,31,32,0,44,34,0,0,63,0,63
ALAMOSA-CO-2018-4,3,19,6,0,44,54,0,87,31,1,10,88,10,88
ALAMOSA-CO-2018-5,7,13,8,0,39,33,16,87,40,0,0,87,0,87
ALAMOSA-CO-2018-6,9,19,14,0,32,58,0,61,62,0,2,88,2,88
ALAMOSA-CO-2018-7,9,17,7,0,35,23,0,54,16,0,4,54,4,54
ALAMOSA-CO-2018-8,11,21,10,0,40,50,2,111,46,1,14,78,14,78
ALAMOSA-CO-2018-9,12,21,16,0,34,47,0,82,28,6,2,79,2,79
ALBEMARLE-VA-2018-1,41,42,91,0,160,232,1,266,151,165,39,354,39,354
ALBEMARLE-VA-2018-10,46,38,76,0,165,169,1,249,86,187,46,286,46,286
ALBEMARLE-VA-2018-11,26,30,64,0,140,174,2,230,104,192,34,281,34,281
ALBEMARLE-VA-2018-12,45,44,95,0,183,201,0,299,139,201,26,353,26,353
ALBEMARLE-VA-2018-2,54,52,64,0,132,158,0,232,97,152,48,240,48,240
ALBEMARLE-VA-2018-3,27,35,71,0,89,130,0,190,88,81,27,192,27,192
ALBEMARLE-VA-2018-4,41,50,66,0,117,170,0,214,91,119,30,257,30,257
ALBEMARLE-VA-2018-5,43,35,84,0,202,177,0,233,74,236,45,334,45,334
ALBEMARLE-VA-2018-6,44,41,77,0,153,160,3,201,109,178,22,291,22,291
ALBEMARLE-VA-2018-7,34,29,53,0,122,161,0,211,85,171,15,267,15,267
ALBEMARLE-VA-2018-8,47,40,80,0,164,152,1,223,96,171,23,292,23,292
ALBEMARLE-VA-2018-9,49,60,68,0,179,178,0,252,96,190,34,320,34,320
ALCONA-MI-2018-1,0,2,3,0,7,6,0,6,2,1,0,13,0,13
ALCONA-MI-2018-10,1,4,3,0,8,5,0,10,6,0,3,10,3,10
ALCONA-MI-2018-11,3,5,3,0,4,8,0,13,2,0,1,10,1,10
ALCONA-MI-2018-12,4,3,5,0,5,4,0,4,6,0,1,8,1,8
ALCONA-MI-2018-2,1,3,0,0,8,7,0,8,4,0,2,13,2,13
ALCONA-MI-2018-3,7,9,8,0,15,7,0,17,2,0,1,21,1,21
ALCONA-MI-2018-4,6,6,6,0,10,8,0,7,6,0,3,15,3,15
ALCONA-MI-2018-5,4,3,5,0,17,15,0,9,4,0,5,27,5,27
ALCONA-MI-2018-6,0,0,1,0,9,8,0,7,4,0,1,16,1,16
ALCONA-MI-2018-7,3,3,2,0,2,7,0,5,2,0,0,9,0,9
ALCONA-MI-2018-8,1,2,1,0,7,4,0,7,3,0,0,11,0,11
ALCONA-MI-2018-9,1,3,6,0,12,8,0,11,4,0,2,16,2,16
ALEXANDRIA CITY-VA-2018-1,83,88,159,9,303,228,4,455,133,35,55,478,55,478
ALEXANDRIA CITY-VA-2018-10,56,56,108,0,215,296,4,355,114,39,26,488,26,488
ALEXANDRIA CITY-VA-2018-11,37,49,60,0,226,225,8,276,96,39,24,434,24,434
ALEXANDRIA CITY-VA-2018-12,65,57,99,0,258,230,3,388,103,38,18,473,18,473
ALEXANDRIA CITY-VA-2018-2,42,32,105,0,268,228,6,399,90,17,102,399,102,399
ALEXANDRIA CITY-VA-2018-3,63,65,124,0,243,256,3,417,109,24,54,448,54,448
ALEXANDRIA CITY-VA-2018-4,51,56,101,0,206,261,11,333,126,64,50,424,50,424
ALEXANDRIA CITY-VA-2018-5,39,43,73,0,244,209,1,315,99,51,19,433,19,433
ALEXANDRIA CITY-VA-2018-6,64,66,114,0,309,269,0,452,120,19,28,550,28,550
ALEXANDRIA CITY-VA-2018-7,43,55,93,0,408,324,3,415,108,57,29,706,29,706
ALEXANDRIA CITY-VA-2018-8,99,76,120,1,321,281,5,442,168,34,33,574,33,574
ALEXANDRIA CITY-VA-2018-9,52,66,93,1,266,266,1,323,96,59,25,508,25,508
ALFALFA-OK-2018-1,0,1,1,0,2,13,0,16,12,0,0,15,0,15
ALFALFA-OK-2018-10,2,1,1,0,10,3,0,6,6,0,0,13,0,13
ALFALFA-OK-2018-11,1,0,1,0,0,3,0,4,2,0,0,3,0,3
ALFALFA-OK-2018-12,0,3,1,0,7,4,0,2,3,0,3,8,3,8
ALFALFA-OK-2018-2,2,2,3,0,3,8,1,8,0,0,0,12,0,12
ALFALFA-OK-2018-3,1,1,0,0,8,6,0,11,0,0,0,14,0,14
ALFALFA-OK-2018-4,2,3,2,0,8,1,1,10,2,0,1,9,1,9
ALFALFA-OK-2018-5,1,1,0,0,5,2,0,5,4,0,1,6,1,6
ALFALFA-OK-2018-6,1,2,1,0,3,3,0,7,5,0,1,5,1,5
ALFALFA-OK-2018-7,2,0,0,0,1,3,1,3,0,0,0,5,0,5
ALFALFA-OK-2018-8,2,5,3,0,13,5,5,17,2,0,0,23,0,23
ALFALFA-OK-2018-9,0,0,2,0,42,13,26,35,36,36,0,81,0,81
ALGER-MI-2018-1,4,4,7,0,5,5,0,13,6,3,0,9,0,9
ALGER-MI-2018-10,4,4,5,0,4,4,0,11,5,0,1,7,1,7
ALGER-MI-2018-11,0,0,0,0,1,4,0,9,0,1,0,5,0,5
ALGER-MI-2018-12,2,5,7,0,4,8,0,12,2,0,3,9,3,9
ALGER-MI-2018-2,4,4,7,0,13,8,0,18,1,3,1,20,1,20
ALGER-MI-2018-3,2,3,6,0,9,3,0,20,5,0,0,12,0,12
ALGER-MI-2018-4,4,4,8,0,9,7,0,22,17,2,3,13,3,13
ALGER-MI-2018-5,5,4,13,0,17,13,1,25,18,0,3,27,3,27
ALGER-MI-2018-6,4,3,10,0,12,6,0,20,7,2,2,16,2,16
ALGER-MI-2018-7,3,2,3,0,8,14,0,13,10,1,1,21,1,21
ALGER-MI-2018-8,6,6,8,0,15,10,0,26,8,1,7,18,7,18
ALGER-MI-2018-9,3,4,3,0,4,7,0,9,4,0,1,10,1,10
ALLAMAKEE-IA-2018-11,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ALLAMAKEE-IA-2018-2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALLAMAKEE-IA-2018-5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALLAMAKEE-IA-2018-9,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ALLEGAN-MI-2018-1,107,134,164,0,255,315,4,538,191,62,66,503,66,503
ALLEGAN-MI-2018-10,82,94,144,0,283,282,2,529,189,56,59,504,59,504
ALLEGAN-MI-2018-11,79,106,115,0,225,285,4,443,145,101,67,442,67,442
ALLEGAN-MI-2018-12,88,111,129,0,241,208,2,394,160,48,53,397,53,397
ALLEGAN-MI-2018-2,91,119,123,0,170,260,1,430,168,26,64,365,64,365
ALLEGAN-MI-2018-3,106,114,148,0,204,241,6,438,193,36,92,357,92,357
ALLEGAN-MI-2018-4,103,117,135,0,191,260,3,465,175,39,51,397,51,397
ALLEGAN-MI-2018-5,98,120,155,0,245,296,2,506,221,45,77,456,77,456
ALLEGAN-MI-2018-6,91,97,149,0,262,294,0,480,231,46,50,499,50,499
ALLEGAN-MI-2018-7,108,113,163,0,283,307,1,523,183,75,57,531,57,531
ALLEGAN-MI-2018-8,112,140,173,0,322,331,0,576,233,57,56,593,56,593
ALLEGAN-MI-2018-9,115,149,186,10,335,317,1,603,201,46,84,556,84,556
ALLEGHANY-VA-2018-1,17,16,20,0,34,21,0,63,26,0,18,37,18,37
ALLEGHANY-VA-2018-10,6,9,14,0,16,22,0,45,8,0,11,27,11,27
ALLEGHANY-VA-2018-11,7,6,5,0,16,13,0,32,12,0,5,24,5,24
ALLEGHANY-VA-2018-12,6,5,9,0,24,7,0,40,11,0,3,28,3,28
ALLEGHANY-VA-2018-2,7,9,7,0,13,14,0,43,13,0,7,20,7,20
ALLEGHANY-VA-2018-3,7,5,13,0,19,13,0,44,33,0,5,25,5,25
ALLEGHANY-VA-2018-4,13,10,10,0,23,27,0,48,24,0,3,41,3,41
ALLEGHANY-VA-2018-5,6,3,12,0,17,26,0,49,27,0,2,41,2,41
ALLEGHANY-VA-2018-6,38,34,21,0,30,40,0,75,12,0,32,38,32,38
ALLEGHANY-VA-2018-7,5,2,3,0,12,17,0,35,19,0,0,29,0,29
